SMILES,Catalog ID,MW,MW (desalted),ClogP,logS,HBD,HBA,TPSA,Rotatable Bonds
O=C1CNc2ccc(C(F)(F)F)cc2N1,Z147641710,216.051,216.16,1.977,-2.31,2,2,41.13,1
O=C(O)c1ccco1,Z104473462,112.016,112.083,1.061,-0.88,1,2,50.44,1
O=C(O)CCc1ccc(Cl)cc1,Z178961272,184.029,184.62,2.616,-2.11,1,2,37.3,3
O=C(O)c1ccc2cc[nH]c2c1,Z385481296,161.048,161.157,2.067,-2.41,2,2,53.09,1
Cc1cccc(C)c1OCC(=O)O,Z56924437,180.079,180.2,2.348,-2.04,1,3,46.53,3
O=C(O)c1sccc1-n1cccc1,Z227832752,193.02,193.222,2.909,-1.84,1,2,42.23,2
O=C(O)c1cnc2ccccc2c1,Z838909446,173.048,173.168,2.183,-2.17,1,3,50.19,1
O=C(NO)c1ccccc1O,Z57842350,153.043,153.135,0.877,-1.04,3,3,69.56,1
CCc1ccc(O)cc1,Z104479728,122.073,122.164,2.503,-2,1,1,20.23,1
CNC(=O)c1cc(Cl)ccn1,Z94601331,170.025,170.596,1.25,-1.51,1,2,41.99,1
Nc1ccc(C(=O)O)cc1O,Z431554234,153.043,153.135,0.796,-0.95,3,4,83.55,1
Cc1cccc(N)c1C(=O)O,Z802851752,151.063,151.163,1.407,-1.86,2,3,63.32,1
C1CCN(C2CCNCC2)CC1,Z317268638,168.163,168.279,0.733,0,1,2,15.27,1
c1ccc(Cn2ccnc2)cc1,Z57842700,158.084,158.2,1.505,-1.43,0,1,17.82,2
N#CCc1c[nH]c2ccc(Cl)cc12,Z1162450204,190.03,190.629,2.435,-3.19,1,1,39.58,1
c1ccc2[nH]c(-c3cscn3)nc2c1,Z104480436,201.036,201.248,2.358,-3.19,1,2,41.57,1
Cc1ccccc1C(=O)O,Z104495626,136.052,136.148,2.084,-2.02,1,2,37.3,1
Cc1nc2ccccc2[nH]1,Z55692894,132.069,132.163,1.834,-1.68,1,1,28.68,0
O=C(O)c1ccccc1F,Z57914061,140.027,140.112,1.766,-1.8,1,2,37.3,1
Nc1ccc(F)cc1C(=O)O,Z56946871,155.038,155.126,1.478,-1.63,2,3,63.32,1
NC(=O)c1cc(Cl)ccc1N,Z239125320,170.025,170.596,1.209,-2.17,2,2,69.11,1
O=C(O)COC1CCCCC1,Z316258722,158.094,158.195,1.64,-1.16,1,3,46.53,3
Nc1ccc2oc(=O)ccc2c1,Z56754502,161.048,161.157,1.014,-2.38,1,2,52.32,0
NNC(=O)c1ccc(O)cc1,Z57036327,152.059,152.151,-0.063,-1.26,3,3,75.35,1
O=C(O)Cc1cccs1,Z104473344,142.009,142.176,1.06,-1.04,1,2,37.3,2
c1cnc2[nH]ccc2c1,Z271099378,118.053,118.136,1.175,-2.05,1,1,28.68,0
NC(=O)c1ccccc1N,Z57036632,136.064,136.151,0.348,-1.39,2,2,69.11,1
Nc1nc2ccc(F)cc2s1,Z56899125,168.016,168.191,1.975,-2.81,1,2,38.91,0
O=C(O)c1cc2cc(Cl)sc2[nH]1,Z1508918230,200.965,201.63,2.611,-4.3,2,2,53.09,1
NS(=O)(=O)c1ccc(C(=O)O)cc1,Z53021532,201.01,201.2,0.452,-1.48,2,4,97.46,2
NS(=O)(=O)c1ncc[nH]1,Z1203748449,147.01,147.156,-0.845,-0.8,2,3,88.84,1
O=C(O)c1ccc(Br)cc1,Z57127530,199.947,201.017,2.846,-2.65,1,2,37.3,1
Nc1nc2ccccc2[nH]1,Z104378302,133.064,133.151,1.238,-2.35,2,2,54.7,0
Cc1ccc(C(N)=O)cn1,Z57493539,136.064,136.151,0.293,-0.61,1,2,55.98,1
Cc1ccc(CCC(=O)O)cc1,Z169855336,164.084,164.201,2.402,-1.86,1,2,37.3,3
Cl.NCCc1c[nH]c2ccc(F)cc12,Z1741960310,214.067,178.206,1.734,-2.77,2,1,41.81,2
O=C(O)CCc1nc2ccccc2[nH]1,Z57115077,190.074,190.199,1.096,-1.5,2,3,65.98,3
NC(=O)CCn1cnc2ccccc21,Z53116464,189.09,189.214,0.481,-1.42,1,2,60.91,3
O=C(O)c1cccc(Cl)c1,Z104474062,155.998,156.566,2.696,-2.28,1,2,37.3,1
Cc1ccc2[nH]ccc2c1,Z979311300,131.073,131.174,2.631,-2.761,1,0,15.79,0
Fc1cc(F)c2[nH]ccc2c1,Z1201620809,153.039,153.129,2.645,-2.84,1,0,15.79,0
CCN1CCc2c(N)cccc2C1,Z728884102,176.131,176.258,1.343,-1.16,1,2,29.26,1
O=C(O)Cn1c2ccccc2c(=O)c2ccccc21,Z57473348,253.074,253.253,1.314,-3.35,1,4,57.61,2
O=C(O)CCC1CCCCC1,Z104479892,156.115,156.222,2.985,-2.8,1,2,37.3,3
O=C1Cc2ccc(Cl)cc2N1,Z56922083,167.014,167.592,1.678,-1.93,1,1,29.1,0
Nc1cnc2ccccc2c1,Z234895085,144.069,144.173,1.702,-1.85,1,2,38.91,0
Nc1cccc(F)c1C(=O)O,Z424764636,155.038,155.126,1.118,-1.63,2,3,63.32,1
CC(=O)c1c[nH]c2ccccc12,Z57337726,159.068,159.185,1.979,-2.56,1,1,32.86,1
O=C(O)c1ccc(O)c(Cl)c1,Z104503564,171.993,172.566,2.073,-1.89,2,3,57.53,1
CN1C2CCC1CC(=O)C2,Z362847958,139.1,139.195,0.418,-0.16,0,2,20.31,0
O=C(O)c1ccc(Cl)cc1,Z104473324,155.998,156.566,2.696,-2.28,1,2,37.3,1
Nc1cnccc1C(=O)O,Z414314668,138.043,138.124,0.747,-0.199,2,4,76.21,1
O=c1ccc2ccccc2o1,Z57169486,146.037,146.143,1.412,-2.55,0,1,26.3,0
O=C(O)c1c[nH]c2ccccc12,Z89283908,161.048,161.157,2.131,-2.33,2,2,53.09,1
NS(=O)(=O)c1cc(Cl)cc(Cl)c1,Z45415617,224.942,226.08,2.064,-2.851,1,2,60.16,1
Nc1nc2ccccc2c(=O)[nH]1,Z840267872,161.059,161.161,0.153,-2.89,2,3,67.48,0
O=C(O)Cc1noc2ccccc12,Z99600464,177.043,177.157,0.777,-1.58,1,3,63.33,2
CC(=O)Nc1ccc(C(=O)O)cc1,Z57042001,179.058,179.173,1.198,-1.68,2,3,66.4,2
O=C(O)COc1cccc2ccccc12,Z56900768,202.063,202.206,2.524,-3.38,1,3,46.53,3
